taxa	organ	pond	sample	value
Synergistetes	Gut	Pond 3 (G2)	IA7	1.12E-05
Tenericutes	Gut	Pond 3 (G2)	IA7	0.000633046
Verrucomicrobia	Gut	Pond 3 (G2)	IA7	0.000487389
Actinobacteria	Gut	Pond 3 (G2)	IA8	0.001607937
Bacteroidetes	Gut	Pond 3 (G2)	IA8	0.00071844
Chloroflexi	Gut	Pond 3 (G2)	IA8	0.000581594
Cyanobacteria	Gut	Pond 3 (G2)	IA8	0.357612042
Firmicutes	Gut	Pond 3 (G2)	IA8	0.001471091
Fusobacteria	Gut	Pond 3 (G2)	IA8	0.348101266
Gemmatimonadetes	Gut	Pond 3 (G2)	IA8	3.42E-05
OP8	Gut	Pond 3 (G2)	IA8	6.84E-05
Planctomycetes	Gut	Pond 3 (G2)	IA8	0.00023948
Proteobacteria	Gut	Pond 3 (G2)	IA8	0.289154978
Synergistetes	Gut	Pond 3 (G2)	IA8	0
Tenericutes	Gut	Pond 3 (G2)	IA8	0.00023948
Verrucomicrobia	Gut	Pond 3 (G2)	IA8	0.000171057
Actinobacteria	Gut	Pond 3 (G2)	IA9	0.008413236
Bacteroidetes	Gut	Pond 3 (G2)	IA9	0.002749577
Chloroflexi	Gut	Pond 3 (G2)	IA9	0.000681519
Cyanobacteria	Gut	Pond 3 (G2)	IA9	0.784216958
Firmicutes	Gut	Pond 3 (G2)	IA9	0.010410792
Fusobacteria	Gut	Pond 3 (G2)	IA9	0.091394059
Gemmatimonadetes	Gut	Pond 3 (G2)	IA9	0.000329009
OP8	Gut	Pond 3 (G2)	IA9	0.000117503
Planctomycetes	Gut	Pond 3 (G2)	IA9	0.003102087
Proteobacteria	Gut	Pond 3 (G2)	IA9	0.096987216
Synergistetes	Gut	Pond 3 (G2)	IA9	0
Tenericutes	Gut	Pond 3 (G2)	IA9	0.001245535
Verrucomicrobia	Gut	Pond 3 (G2)	IA9	0.00035251
Actinobacteria	Gut	Pond 2 (G1)	IE2	0.011425045
Bacteroidetes	Gut	Pond 2 (G1)	IE2	0.003828649
Chloroflexi	Gut	Pond 2 (G1)	IE2	0.001782372
Cyanobacteria	Gut	Pond 2 (G1)	IE2	0.636838665
Firmicutes	Gut	Pond 2 (G1)	IE2	0.001603729
Fusobacteria	Gut	Pond 2 (G1)	IE2	0.011749851
Gemmatimonadetes	Gut	Pond 2 (G1)	IE2	0.000336986
OP8	Gut	Pond 2 (G1)	IE2	0.000186763
Planctomycetes	Gut	Pond 2 (G1)	IE2	0.004307737
Proteobacteria	Gut	Pond 2 (G1)	IE2	0.32609287
Synergistetes	Gut	Pond 2 (G1)	IE2	4.06E-06
Tenericutes	Gut	Pond 2 (G1)	IE2	0.00056841
Verrucomicrobia	Gut	Pond 2 (G1)	IE2	0.001274863
Actinobacteria	Gut	Pond 2 (G1)	IE3	0.029979205
Bacteroidetes	Gut	Pond 2 (G1)	IE3	0.032231978
Chloroflexi	Gut	Pond 2 (G1)	IE3	0.008029113
Cyanobacteria	Gut	Pond 2 (G1)	IE3	0.147816543
Firmicutes	Gut	Pond 2 (G1)	IE3	0.003754621
Fusobacteria	Gut	Pond 2 (G1)	IE3	0.106342421
Gemmatimonadetes	Gut	Pond 2 (G1)	IE3	0.000404344
OP8	Gut	Pond 2 (G1)	IE3	0.00017329
Planctomycetes	Gut	Pond 2 (G1)	IE3	0.013805453
Proteobacteria	Gut	Pond 2 (G1)	IE3	0.65642329
Synergistetes	Gut	Pond 2 (G1)	IE3	0
Tenericutes	Gut	Pond 2 (G1)	IE3	0.000404344
Verrucomicrobia	Gut	Pond 2 (G1)	IE3	0.000635397
Actinobacteria	Gut	Pond 2 (G1)	IE5	0.016570651
Bacteroidetes	Gut	Pond 2 (G1)	IE5	0.03171689
Chloroflexi	Gut	Pond 2 (G1)	IE5	0.002943783
Cyanobacteria	Gut	Pond 2 (G1)	IE5	0.379289061
Firmicutes	Gut	Pond 2 (G1)	IE5	0.002405672
Fusobacteria	Gut	Pond 2 (G1)	IE5	0.007327805
Gemmatimonadetes	Gut	Pond 2 (G1)	IE5	0.000379843
OP8	Gut	Pond 2 (G1)	IE5	7.91E-05
Planctomycetes	Gut	Pond 2 (G1)	IE5	0.00542859
Proteobacteria	Gut	Pond 2 (G1)	IE5	0.550740694
Synergistetes	Gut	Pond 2 (G1)	IE5	1.58E-05
Tenericutes	Gut	Pond 2 (G1)	IE5	3.17E-05
Verrucomicrobia	Gut	Pond 2 (G1)	IE5	0.003070398
Actinobacteria	Gut	Pond 2 (G1)	IE7	0.005976708
Bacteroidetes	Gut	Pond 2 (G1)	IE7	0.001728558
Chloroflexi	Gut	Pond 2 (G1)	IE7	0.000410166
Cyanobacteria	Gut	Pond 2 (G1)	IE7	0.276217681
Firmicutes	Gut	Pond 2 (G1)	IE7	0.001245148
Fusobacteria	Gut	Pond 2 (G1)	IE7	0.012993481
Gemmatimonadetes	Gut	Pond 2 (G1)	IE7	8.79E-05
OP8	Gut	Pond 2 (G1)	IE7	5.86E-05
Planctomycetes	Gut	Pond 2 (G1)	IE7	0.000424815
Proteobacteria	Gut	Pond 2 (G1)	IE7	0.698835421
Synergistetes	Gut	Pond 2 (G1)	IE7	0
Tenericutes	Gut	Pond 2 (G1)	IE7	0.00121585
Verrucomicrobia	Gut	Pond 2 (G1)	IE7	0.000805684
Actinobacteria	Gut	Pond 2 (G1)	IE8	0.009673381
Bacteroidetes	Gut	Pond 2 (G1)	IE8	0.000910436
Chloroflexi	Gut	Pond 2 (G1)	IE8	5.69E-05
Cyanobacteria	Gut	Pond 2 (G1)	IE8	0.027483783
Firmicutes	Gut	Pond 2 (G1)	IE8	0.00432457
Fusobacteria	Gut	Pond 2 (G1)	IE8	0.01928986
Gemmatimonadetes	Gut	Pond 2 (G1)	IE8	0
OP8	Gut	Pond 2 (G1)	IE8	0
Planctomycetes	Gut	Pond 2 (G1)	IE8	0.001251849
Proteobacteria	Gut	Pond 2 (G1)	IE8	0.936667805
Synergistetes	Gut	Pond 2 (G1)	IE8	0
Tenericutes	Gut	Pond 2 (G1)	IE8	0.000170707
Verrucomicrobia	Gut	Pond 2 (G1)	IE8	0.000170707
Actinobacteria	Gut	Pond 2 (G1)	IE9	0.004835005
Bacteroidetes	Gut	Pond 2 (G1)	IE9	0
Chloroflexi	Gut	Pond 2 (G1)	IE9	9.07E-05
Cyanobacteria	Gut	Pond 2 (G1)	IE9	0.010365043
Firmicutes	Gut	Pond 2 (G1)	IE9	0.014081953
Fusobacteria	Gut	Pond 2 (G1)	IE9	0.171824006
Gemmatimonadetes	Gut	Pond 2 (G1)	IE9	0
OP8	Gut	Pond 2 (G1)	IE9	0
Planctomycetes	Gut	Pond 2 (G1)	IE9	0.000211531
Proteobacteria	Gut	Pond 2 (G1)	IE9	0.79819896
Synergistetes	Gut	Pond 2 (G1)	IE9	0
Tenericutes	Gut	Pond 2 (G1)	IE9	0.000302188
Verrucomicrobia	Gut	Pond 2 (G1)	IE9	9.07E-05
Actinobacteria	Gut	Pond 1 (G1)	IL1	0.027965377
Bacteroidetes	Gut	Pond 1 (G1)	IL1	0.000993802
Chloroflexi	Gut	Pond 1 (G1)	IL1	0.000149605
Cyanobacteria	Gut	Pond 1 (G1)	IL1	0.004242359
Firmicutes	Gut	Pond 1 (G1)	IL1	0.002650139
Fusobacteria	Gut	Pond 1 (G1)	IL1	0.022504809
Gemmatimonadetes	Gut	Pond 1 (G1)	IL1	0.000117546
OP8	Gut	Pond 1 (G1)	IL1	1.07E-05
Planctomycetes	Gut	Pond 1 (G1)	IL1	0.000245779
Proteobacteria	Gut	Pond 1 (G1)	IL1	0.938672793
Synergistetes	Gut	Pond 1 (G1)	IL1	0.001143407
Tenericutes	Gut	Pond 1 (G1)	IL1	0.001271639
Verrucomicrobia	Gut	Pond 1 (G1)	IL1	3.21E-05
Actinobacteria	Gut	Pond 1 (G1)	IL2	0.019246689
Bacteroidetes	Gut	Pond 1 (G1)	IL2	0.02214404
Chloroflexi	Gut	Pond 1 (G1)	IL2	0.004966887
Cyanobacteria	Gut	Pond 1 (G1)	IL2	0.305463576
